Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:1yMeXd08op7WK8UN07QZQ9,"Don't Wanna Fight","Sound & Color","Alabama Shakes",2015-04-20,232546,44,false,ruffoj,2024-06-14T21:50:27Z,"","Rough Trade",0.618,0.919,10,-3.291,0,0.158,0.24,0.0886,0.109,0.563,100.31,4
spotify:track:6EXi6ZqTITKGtVBKqbphjL,"Porcelain","Play","Moby",1999-05-17,241160,74,false,ruffoj,2024-06-14T21:50:39Z,"downtempo,trip hop","Mute, a BMG Company",0.551,0.628,0,-7.874,0,0.0294,0.00133,0.188,0.282,0.336,95.03,4
spotify:track:5DOjTvWiR9IUFZCg4e5yKO,"Falling Down","Life/Death","Teen Mortgage",2019-06-21,174872,49,true,ruffoj,2024-06-15T03:48:51Z,"egg punk,punk,garage rock","King Pizza Records",0.392,0.95,6,-7.172,0,0.19,0.000849,0.0347,0.164,0.151,198.013,4
spotify:track:7ckgU4Hcj9urCh2bTO8Ct8,"Por Favor","Pateando Piedras","Los Prisioneros",1986-01-01,212360,41,false,ruffoj,2024-06-15T03:48:58Z,"latin rock,rock en español","EMI CHILE",0.811,0.438,2,-13.494,0,0.0346,0.137,0.000785,0.0893,0.558,109.271,4
spotify:track:3oR37Lfy61NvJTm3fpRfWL,"Sippin' Lysol","BRAND NEW SOUL","Angel Du$t",2023-09-08,82685,36,false,ruffoj,2024-06-15T03:49:02Z,"hardcore punk,hardcore","Pop Wig Records",0.464,0.942,8,-5.096,1,0.0678,0.0000136,0.642,0.49,0.801,94.885,4
spotify:track:2avKuMN2QXkaG9vvHa2JLt,"Take A Look Around","Chocolate Starfish And The Hot Dog Flavored Water","Limp Bizkit",2000-10-17,321040,83,false,ruffoj,2024-06-20T05:14:58Z,"nu metal,rap metal,alternative metal,rap rock","Interscope",0.425,0.852,11,-5.605,1,0.0461,0.0174,0.311,0.0935,0.499,101.97,4
spotify:track:7uv632EkfwYhXoqf8rhYrg,"Angel","Mezzanine","Massive Attack,Horace Andy",1998-01-01,379533,82,false,ruffoj,2024-06-20T05:15:06Z,"trip hop,downtempo,roots reggae,dub,reggae,rocksteady,lovers rock,ragga","Circa",0.714,0.309,7,-10.796,1,0.0291,0.0157,0.807,0.0777,0.0671,107.346,4
spotify:track:0COqiPhxzoWICwFCS4eZcp,"Bring Me To Life","Fallen","Evanescence",2003-03-04,235893,90,false,ruffoj,2024-07-01T23:51:05Z,"alternative metal","The Bicycle Music Company",0.331,0.943,4,-3.188,0,0.0698,0.00721,0.00000206,0.242,0.296,94.612,4
spotify:track:6WJFcaTxTP1Z95rLE6lk7s,"Sad But True - Remastered 2021","Metallica (Remastered 2021)","Metallica",2021-09-10,324600,53,false,ruffoj,2024-07-04T00:07:42Z,"metal,thrash metal,rock,heavy metal,hard rock","Blackened Recordings / Universal Music",0.625,0.876,7,-5.998,1,0.035,0.000848,0.00198,0.0639,0.46,89.233,4
spotify:track:6r0NAdEGK3F2OMjs7b1ISF,"No Te Animás a Despegar","Parque","los subtítulos",2024-06-28,182437,7,false,ruffoj,2024-07-08T22:15:39Z,"","Los subtítulos",0.534,0.738,7,-7.633,0,0.0322,0.625,0.3,0.104,0.56,145.048,4
spotify:track:683JnJRZeuAb7mWGXyYpeq,"Destino Circular","Locura","Virus",1985-04-29,222440,50,false,ruffoj,2024-07-12T21:50:47Z,"latin rock,argentine rock,rock en español","Columbia",0.596,0.823,0,-6.748,1,0.0358,0.0393,0.000841,0.108,0.868,165.158,4
spotify:track:2goLsvvODILDzeeiT4dAoR,"Believe","Believe","Cher",1998,239026,84,false,ruffoj,2024-07-12T21:50:51Z,"","Warner Records",0.652,0.917,6,-6.72,1,0.0548,0.0082,0,0.0509,0.459,132.975,4
